pair,genename,zscore
V$E2A_Q6 - V$SP1_01,ADH1A,3.05990172438211
V$CREL_01 - V$STAT_01,ADH1A,3.10458100159824
V$AP1_Q2_01 - V$CEBPB_01,ADH1A,3.09075681027297
V$NFKB_Q6_01 - V$OCT1_04,ADH1A,3.06205789331534
V$AP1FJ_Q2 - V$ETS_Q6,ADH1A,3.07378101691361
V$AP1_Q2 - V$PU1_Q6,ADH1A,3.25032567033859
V$LEF1_Q2 - V$NFY_Q6,ADH1A,3.49224749583104
V$NF1_Q6 - V$STAT5B_01,ADH1A,3.35055369543106
V$AP1_C - V$STAT6_01,ADH1A,4.39026077505049
V$AP1_C - V$PU1_Q6,ADH1A,3.03842350513223
V$AP1_C - V$IRF_Q6_01,ADH1A,3.7343224391538
V$MYCMAX_B - V$USF_Q6_01,ADH1A,3.04559807229301
V$AP1_Q4_01 - V$STAT6_01,ADH1A,3.7432790632718
V$AP1_01 - V$NFAT_Q4_01,ADH1A,3.01673965169385
V$AP1_Q2_01 - V$LEF1_Q2,ADH1A,3.22400987803138
V$AP1_Q2_01 - V$CEBP_Q2_01,ADH1A,3.72375058915997
V$GR_Q6_01 - V$PR_Q2,ADH1A,3.39061198687939
V$AP1_Q4_01 - V$NFAT_Q4_01,ADH1A,3.54201684240692
V$OCT1_Q6 - V$VMYB_01,ADH1B,4.02640287713148
V$SOX9_B1 - V$SP1_01,ADH1B,4.46845303198935
V$ELK1_02 - V$SREBP_Q3,ADH1B,3.35749862659993
V$AHRHIF_Q6 - V$CREL_01,ADH1B,3.54291498599978
V$CP2_01 - V$HNF1_Q6,ADH1B,3.43572497828929
V$CP2_01 - V$SMAD_Q6_01,ADH1B,3.06309711975554
V$AP1FJ_Q2 - V$PU1_Q6,ADH1B,3.15934193604249
V$AP1FJ_Q2 - V$ETS_Q6,ADH1B,3.50177986384433
V$GR_Q6 - V$NFAT_Q6,ADH1B,3.01667977261134
V$AP1_C - V$OCT_Q6,ADH1B,3.19393518086446
V$PR_Q2 - V$SOX9_B1,ADH1B,3.15508740089378
V$OCT_Q6 - V$STAT6_01,ADH1B,4.03980731270834
V$AP1_01 - V$STAT_Q6,ADH1B,3.19558419528957
V$SMAD3_Q6 - V$SMAD_Q6_01,ADH1B,3.91432412304672
V$NFKB_Q6_01 - V$SREBP_Q3,ADH1B,3.16163316808104
V$GATA_Q6 - V$GR_Q6_01,ADH1B,3.23670716953336
V$GR_Q6_01 - V$OCT_Q6,ADH1B,3.48801108630541
V$IRF_Q6_01 - V$OCT_Q6,ADH1B,3.45600015417422
V$AP1_Q2_01 - V$IRF_Q6_01,ADH1B,3.0724226683776
V$AP1_Q2_01 - V$PEBP_Q6,ADH1B,3.07480900196435
V$AP1_Q4_01 - V$IRF_Q6_01,ADH1B,3.10911619701708
V$AHRHIF_Q6 - V$NFAT_Q4_01,ADH1B,3.33809314612473
V$HNF4_Q6 - V$PR_Q2,ADH1B,3.32943352147954
V$AP1FJ_Q2 - V$CMYB_01,ADH1C,3.16063508357476
V$CETS1P54_01 - V$LEF1TCF1_Q4,ADH1C,3.34813563944808
V$AP1_Q6 - V$ELF1_Q6,ADH1C,3.1936346511627
V$CEBP_Q2 - V$OCT_Q6,ADH1C,3.03835687312974
V$GR_Q6 - V$NFAT_Q4_01,ADH1C,4.02245251247431
V$GATA_C - V$IPF1_Q4,ADH1C,3.23240796463579
V$GATA_C - V$MYB_Q3,ADH1C,3.81252697517365
V$ETS1_B - V$HNF1_Q6,ADH1C,3.50750383576003
V$ELF1_Q6 - V$SOX9_B1,ADH1C,4.09407977320564
V$NFAT_Q4_01 - V$SOX9_B1,ADH1C,3.34746106356379
V$ETS_Q6 - V$SOX9_B1,ADH1C,3.02989778351665
V$IRF_Q6_01 - V$SOX9_B1,ADH1C,3.044220196308
V$GATA_Q6 - V$IPF1_Q4,ADH1C,3.53996724463165
V$PU1_Q6 - V$STAT6_01,ADH1C,4.94185357614156
V$ETS_Q6 - V$STAT6_01,ADH1C,6.81053268778998
V$ETS_Q6 - V$PU1_Q6,ADH1C,4.30247813558678
V$ELF1_Q6 - V$GR_Q6_01,ADH1C,3.52681140327375
V$ELF1_Q6 - V$PR_Q2,ADH1C,3.3623236254185
V$IRF_Q6_01 - V$OCT_Q6,ADH1C,4.35878318620654
V$OCT_Q6 - V$SMAD_Q6_01,ADH1C,3.10593045984601
V$GR_Q6_01 - V$LEF1TCF1_Q4,ADH1C,3.15171858366274
V$STAT5B_01 - V$VMYB_01,ADH4,3.53634576520528
V$CMYB_01 - V$OCT_C,ADH4,3.43272015522886
V$ETS1_B - V$PIT1_Q6,ADH4,3.6779166179663
V$PU1_Q6 - V$STAT6_01,ADH4,5.84150086213424
V$ETS_Q6 - V$STAT6_01,ADH4,7.23319620386658
V$CEBP_Q3 - V$PU1_Q6,ADH4,3.62248347400384
V$ETS_Q6 - V$PU1_Q6,ADH4,7.58745375887719
V$AP1_Q2_01 - V$DR1_Q3,ADH4,3.45544931309124
V$CEBP_Q3 - V$ETS_Q6,ADH4,4.06387671218904
V$ETS_Q4 - V$LEF1TCF1_Q4,ADH4,3.15947514372997
V$AP1_Q2_01 - V$IRF_Q6,ADH4,3.08049656049157
V$IRF_Q6 - V$MAF_Q6_01,ADH4,3.2456160605277
V$PR_Q2 - V$STAT_Q6,ADH4,3.25992638993195
V$CREB_Q4_01 - V$EGR_Q6,ADH4,3.19644036733706
V$OCT_Q6 - V$VMYB_01,ADH5,3.92888925460242
V$CMYB_01 - V$PU1_Q6,ADH5,3.15651022185992
V$CREBP1CJUN_01 - V$NFY_01,ADH5,3.93584132982885
V$CREBP1CJUN_01 - V$NFY_Q6_01,ADH5,3.01043220784599
V$CP2_01 - V$ETS1_B,ADH5,3.63261584847596
V$NF1_Q6 - V$OCT1_02,ADH5,3.35973495994177
