PWM1,PWM2,pair,knownCompelPair,knownBioGridPair
V$NFKAPPAB_01,V$NFY_01,V$NFKAPPAB_01 - V$NFY_01,FALSE,FALSE
V$CP2_01,V$PIT1_Q6,V$CP2_01 - V$PIT1_Q6,FALSE,FALSE
V$CP2_01,V$SMAD_Q6_01,V$CP2_01 - V$SMAD_Q6_01,FALSE,FALSE
V$ETS_Q4,V$NFKB_Q6,V$ETS_Q4 - V$NFKB_Q6,TRUE,TRUE
V$CREB_Q3,V$NFKB_Q6,V$CREB_Q3 - V$NFKB_Q6,TRUE,TRUE
V$ETS_Q6,V$NFKB_Q6,V$ETS_Q6 - V$NFKB_Q6,TRUE,TRUE
V$HNF1_Q6,V$NFKB_C,V$HNF1_Q6 - V$NFKB_C,FALSE,FALSE
V$MYCMAX_B,V$PEBP_Q6,V$MYCMAX_B - V$PEBP_Q6,FALSE,TRUE
V$HIF1_Q5,V$OSF2_Q6,V$HIF1_Q5 - V$OSF2_Q6,FALSE,TRUE
V$EFC_Q6,V$EGR_Q6,V$EFC_Q6 - V$EGR_Q6,FALSE,FALSE
V$MAF_Q6_01,V$PU1_Q6,V$MAF_Q6_01 - V$PU1_Q6,FALSE,FALSE
V$SF1_Q6,V$SMAD_Q6_01,V$SF1_Q6 - V$SMAD_Q6_01,FALSE,FALSE
V$HIF1_Q3,V$OSF2_Q6,V$HIF1_Q3 - V$OSF2_Q6,FALSE,TRUE
V$AML_Q6,V$CETS168_Q6,V$AML_Q6 - V$CETS168_Q6,FALSE,TRUE
V$MAF_Q6_01,V$MYB_Q5_01,V$MAF_Q6_01 - V$MYB_Q5_01,FALSE,TRUE
V$GR_Q6_01,V$PR_Q2,V$GR_Q6_01 - V$PR_Q2,TRUE,TRUE
V$CP2_02,V$LEF1TCF1_Q4,V$CP2_02 - V$LEF1TCF1_Q4,FALSE,FALSE
V$HNF4_Q6,V$PEBP_Q6,V$HNF4_Q6 - V$PEBP_Q6,FALSE,FALSE
V$ETS_Q6,V$MAF_Q6_01,V$ETS_Q6 - V$MAF_Q6_01,FALSE,TRUE
V$AHRHIF_Q6,V$SMAD_Q6_01,V$AHRHIF_Q6 - V$SMAD_Q6_01,TRUE,TRUE
V$AHRHIF_Q6,V$PEBP_Q6,V$AHRHIF_Q6 - V$PEBP_Q6,FALSE,TRUE
V$CMYB_01,V$VMYB_01,V$CMYB_01 - V$VMYB_01,FALSE,FALSE
V$CMYB_01,V$MYB_Q3,V$CMYB_01 - V$MYB_Q3,FALSE,FALSE
V$CEBPB_01,V$HMGIY_Q6,V$CEBPB_01 - V$HMGIY_Q6,FALSE,TRUE
V$AP1_Q6,V$ETS1_B,V$AP1_Q6 - V$ETS1_B,TRUE,TRUE
V$AP1_C,V$ETS1_B,V$AP1_C - V$ETS1_B,TRUE,TRUE
V$ER_Q6_02,V$ETS1_B,V$ER_Q6_02 - V$ETS1_B,FALSE,FALSE
V$HNF3_Q6,V$STAT5B_01,V$HNF3_Q6 - V$STAT5B_01,FALSE,FALSE
V$CREB_Q4_01,V$EFC_Q6,V$CREB_Q4_01 - V$EFC_Q6,TRUE,FALSE
V$HNF3_Q6,V$PU1_Q6,V$HNF3_Q6 - V$PU1_Q6,FALSE,FALSE
V$AP1_Q4_01,V$PU1_Q6,V$AP1_Q4_01 - V$PU1_Q6,TRUE,TRUE
V$AP1_Q2_01,V$SF1_Q6,V$AP1_Q2_01 - V$SF1_Q6,FALSE,TRUE
V$AP1_Q2_01,V$ELF1_Q6,V$AP1_Q2_01 - V$ELF1_Q6,TRUE,FALSE
V$CEBP_Q2_01,V$HMGIY_Q6,V$CEBP_Q2_01 - V$HMGIY_Q6,FALSE,TRUE
V$CREB_Q3,V$SP1_Q2_01,V$CREB_Q3 - V$SP1_Q2_01,FALSE,FALSE
V$LEF1_Q2,V$PEBP_Q6,V$LEF1_Q2 - V$PEBP_Q6,FALSE,FALSE
V$GR_Q6_01,V$SP1_Q2_01,V$GR_Q6_01 - V$SP1_Q2_01,FALSE,FALSE
V$ER_Q6_02,V$PEBP_Q6,V$ER_Q6_02 - V$PEBP_Q6,FALSE,FALSE
V$AHRHIF_Q6,V$E2A_Q6,V$AHRHIF_Q6 - V$E2A_Q6,FALSE,FALSE
V$CMYB_01,V$CREB_Q3,V$CMYB_01 - V$CREB_Q3,FALSE,FALSE
V$AP1_Q2,V$CETS1P54_01,V$AP1_Q2 - V$CETS1P54_01,TRUE,TRUE
V$CETS1P54_01,V$ER_Q6_02,V$CETS1P54_01 - V$ER_Q6_02,FALSE,FALSE
V$NFKAPPAB_01,V$PAX5_01,V$NFKAPPAB_01 - V$PAX5_01,FALSE,FALSE
V$AP1_Q2,V$PEBP_Q6,V$AP1_Q2 - V$PEBP_Q6,FALSE,TRUE
V$E2F_Q3_01,V$GRE_C,V$E2F_Q3_01 - V$GRE_C,FALSE,FALSE
V$CP2_02,V$GRE_C,V$CP2_02 - V$GRE_C,FALSE,FALSE
V$DR3_Q4,V$E2F_Q3_01,V$DR3_Q4 - V$E2F_Q3_01,FALSE,FALSE
V$E2F_Q3_01,V$ETS_Q6,V$E2F_Q3_01 - V$ETS_Q6,FALSE,FALSE
V$AHRHIF_Q6,V$E2F_Q3_01,V$AHRHIF_Q6 - V$E2F_Q3_01,FALSE,FALSE
V$MAF_Q6_01,V$PEBP_Q6,V$MAF_Q6_01 - V$PEBP_Q6,FALSE,FALSE
V$MYOD_01,V$MYOD_Q6_01,V$MYOD_01 - V$MYOD_Q6_01,FALSE,TRUE
V$CMYB_01,V$SP1_Q2_01,V$CMYB_01 - V$SP1_Q2_01,FALSE,FALSE
V$CMYB_01,V$ER_Q6_02,V$CMYB_01 - V$ER_Q6_02,FALSE,FALSE
